date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:15:16	13734/13734	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202024%2008:15:16%20GMT	https://www.bidmarketing.net/about.php	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/about.html	(from https://www.bidmarketing.net/)
01:15:16	11507/11507	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202024%2008:15:16%20GMT	https://www.bidmarketing.net/team.php	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/team.html	(from https://www.bidmarketing.net/)
01:15:17	14680/14680	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202024%2008:15:16%20GMT	https://www.bidmarketing.net/services.php	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/services.html	(from https://www.bidmarketing.net/)
01:15:17	13204/13204	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202024%2008:15:17%20GMT	https://www.bidmarketing.net/contact.php	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/contact.html	(from https://www.bidmarketing.net/)
01:15:17	9553/9553	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202024%2008:15:17%20GMT	https://www.bidmarketing.net/login.php	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/login.html	(from https://www.bidmarketing.net/)
01:15:18	10449/10449	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202024%2008:15:17%20GMT	https://www.bidmarketing.net/register.php	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/register.html	(from https://www.bidmarketing.net/)
01:15:18	63326/63326	---M--	200	added ('OK')	image/jpeg	etag:%22f75e-65bd3a22-7d6820e18a0bbdc8;;;%22	https://www.bidmarketing.net/img/carousel-1.jpg	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/img/carousel-1.jpg	(from https://www.bidmarketing.net/)
01:15:19	57163/57163	---M--	200	added ('OK')	image/jpeg	etag:%22df4b-65bd3a22-ae1f1380faf1918b;;;%22	https://www.bidmarketing.net/img/carousel-2.jpg	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/img/carousel-2.jpg	(from https://www.bidmarketing.net/)
01:15:19	51581/51581	---M--	200	added ('OK')	image/jpeg	etag:%22c97d-65bd3a22-ae8b819f9dba3445;;;%22	https://www.bidmarketing.net/img/about.jpg	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/img/about.jpg	(from https://www.bidmarketing.net/)
01:15:19	32347/32347	---M--	200	added ('OK')	image/jpeg	etag:%227e5b-65bd3a22-6bfc0d6af44f5316;;;%22	https://www.bidmarketing.net/img/team-3.jpg	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/img/team-3.jpg	(from https://www.bidmarketing.net/)
01:15:19	19289/19289	---M--	200	added ('OK')	image/jpeg	etag:%224b59-65bd3a22-60817623659b32a3;;;%22	https://www.bidmarketing.net/img/team-1.jpg	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/img/team-1.jpg	(from https://www.bidmarketing.net/)
01:15:20	27892/27892	---M--	200	added ('OK')	image/jpeg	etag:%226cf4-65bd3a22-4ab2f70fc320be48;;;%22	https://www.bidmarketing.net/img/team-4.jpg	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/img/team-4.jpg	(from https://www.bidmarketing.net/)
01:15:20	16189/16189	---M--	200	added ('OK')	image/jpeg	etag:%223f3d-65bd3a22-709ef55173750612;;;%22	https://www.bidmarketing.net/img/team-2.jpg	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/img/team-2.jpg	(from https://www.bidmarketing.net/)
01:15:20	19656/19656	---M--	200	added ('OK')	image/jpeg	etag:%224cc8-65bd3a22-a17ad88516598d85;;;%22	https://www.bidmarketing.net/img/course-1.jpg	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/img/course-1.jpg	(from https://www.bidmarketing.net/)
01:15:21	23205/23205	---M--	200	added ('OK')	image/jpeg	etag:%225aa5-65bd3a22-e6ff4ed97d722614;;;%22	https://www.bidmarketing.net/img/course-2.jpg	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/img/course-2.jpg	(from https://www.bidmarketing.net/)
01:15:21	26204/26204	---M--	200	added ('OK')	image/jpeg	etag:%22665c-65bd3a22-c7614fe962b7c285;;;%22	https://www.bidmarketing.net/img/course-3.jpg	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/img/course-3.jpg	(from https://www.bidmarketing.net/)
01:15:22	88147/88147	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215853-65bd3a22-d3e515f254aa70fc;gz%22	https://www.bidmarketing.net/js/jquery.min.js	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/js/jquery.min.js	(from https://www.bidmarketing.net/)
01:15:22	79673/79673	---M-Z	200	added ('OK')	application/x-javascript	etag:%2213739-65bd3a22-c6c86ead8a75a59;gz%22	https://www.bidmarketing.net/js/bootstrap.min.js	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/js/bootstrap.min.js	(from https://www.bidmarketing.net/)
01:15:22	8156/8156	---M-Z	200	added ('OK')	application/x-javascript	etag:%221fdc-65bd3a22-842703f643ee500b;gz%22	https://www.bidmarketing.net/lib/wow/wow.min.js	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/lib/wow/wow.min.js	(from https://www.bidmarketing.net/)
01:15:23	2302/2302	---M-Z	200	added ('OK')	application/x-javascript	etag:%228fe-65bd3a22-c1f2855dd9c56c72;gz%22	https://www.bidmarketing.net/lib/easing/easing.min.js	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/lib/easing/easing.min.js	(from https://www.bidmarketing.net/)
01:15:23	9028/9028	---M-Z	200	added ('OK')	application/x-javascript	etag:%222344-65bd3a22-490328b958a74228;gz%22	https://www.bidmarketing.net/lib/waypoints/waypoints.min.js	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/lib/waypoints/waypoints.min.js	(from https://www.bidmarketing.net/)
01:15:23	42766/42766	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a70e-65bd3a22-a111271750348b78;gz%22	https://www.bidmarketing.net/lib/owlcarousel/owl.carousel.min.js	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/lib/owlcarousel/owl.carousel.min.js	(from https://www.bidmarketing.net/)
01:15:24	3686/3686	---M-Z	200	added ('OK')	application/x-javascript	etag:%22e66-65bd3a22-c3c1e7a0b6dc30d3;gz%22	https://www.bidmarketing.net/js/main.js	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/js/main.js	(from https://www.bidmarketing.net/)
01:15:24	85120/85120	---M--	200	added ('OK')	font/woff2	etag:W/%2214c80-7RZ9M14uDLAKgvLXNn8Fy01lV88%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff2?231ce25e89ab5804f9a6c427b8d325c9	C:/My%20Web%20Sites/Marketing/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
01:15:25	113532/113532	---M--	200	added ('OK')	font/woff	etag:W/%221bb7c-47yt78jTFi+euyu4fJGbVQNZ9TA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff?231ce25e89ab5804f9a6c427b8d325c9	C:/My%20Web%20Sites/Marketing/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
01:15:25	4976/4976	---M--	200	added ('OK')	image/png	etag:%221370-65bd3a22-2104cffe1d34bae4;;;%22	https://www.bidmarketing.net/lib/owlcarousel/assets/owl.video.play.png	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/lib/owlcarousel/assets/owl.video.play.png	(from https://www.bidmarketing.net/lib/owlcarousel/assets/owl.carousel.min.css)
01:15:25	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-652d5627-350b7f41c8ed0991;gz%22	https://www.bidmarketing.net/img/favicon.ico	C:/My%20Web%20Sites/Marketing/www.bidmarketing.net/img/favicon.ico	(from https://www.bidmarketing.net/about.php)
01:15:26	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/My%20Web%20Sites/Marketing/code.jquery.com/jquery-3.4.1.min.js	(from https://www.bidmarketing.net/about.php)
01:15:27	79665/79665	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213731-2JYXAt9UqpcPHzAIfI0LH2lnx4Q%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/Marketing/cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	(from https://www.bidmarketing.net/about.php)
01:15:27	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
